Condition,Turker,Has data,Saw chart,Saw model,Mean Brier,Questions,Forecasts
A,No,No,No,No,0.1675885843373494,124,1660
A,Yes,No,No,No,0.157905309919515,110,9567
A,No,Yes,No,No,0.33842547281323876,62,846
A,Yes,Yes,No,No,0.2638825917686318,51,3596
B,No,No,No,No,0.10983569075076488,124,4249
B,No,Yes,Yes,No,0.24124916356877324,62,2152
C,No,No,No,No,0.13843682382133995,124,6045
C,Yes,No,No,No,0.1524180306950077,110,28604
C,No,Yes,Yes,Yes,0.28620897609382046,62,2217
C,Yes,Yes,Yes,Yes,0.248224972899729,51,11070
