Group,Condition,IFP_Group,avg_Brier,sd_Brier,n
7,B: chart only,No TS data,0.25831257344300823,0.48021104444989904,1702
4,A: no chart,No TS data,0.3052413071895425,0.5397970291206602,510
13,C: chart and model,No TS data,0.38457094390507013,0.6028232182769232,3090
8,B: chart only,Chart only,0.4235122807017544,0.422978889341577,57
5,A: no chart,Chart only,0.3567527777777778,0.4590832922864172,18
14,C: chart and model,Chart only,0.5890582191780822,0.56672975764062,73
9,B: chart only,Chart and model,0.22568221993833504,0.30639511145490256,973
6,A: no chart,Chart and model,0.2782563868613139,0.34436690412532533,274
15,C: chart and model,Chart and model,0.32205125111706884,0.40053620908506704,1119
